"Temperature(in celsius)","Label"
66.0380665840801,FALSE
66.7074742771215,FALSE
67.2587882162413,FALSE
65.8478681140849,FALSE
67.1957828262864,FALSE
67.0301239446016,FALSE
67.0854177316123,FALSE
68.1166102127153,FALSE
65.781142584422,FALSE
68.2673687220899,FALSE
66.2552184038649,FALSE
65.8687814291643,FALSE
66.283641509967,FALSE
67.2526523696462,FALSE
67.1520457066556,FALSE
66.6923435703216,FALSE
66.0469826690919,FALSE
66.3517571885515,FALSE
68.2243136242806,FALSE
67.199811607983,FALSE
66.42151627814,FALSE
66.0576992665225,FALSE
66.796271820338,FALSE
65.3335251599698,FALSE
66.515544890849,FALSE
66.2589273392784,FALSE
68.1606157792413,FALSE
68.0120671249342,FALSE
66.9279215259134,FALSE
65.8632177019007,FALSE
67.9006247289827,FALSE
67.8517704470922,FALSE
67.7277151741545,FALSE
67.7365021456886,FALSE
66.6478703830543,FALSE
67.7055155134855,FALSE
68.3003579887321,FALSE
67.0382520141443,FALSE
66.0207162300037,FALSE
67.7937612308725,FALSE
67.7865068720095,FALSE
66.6895368690407,FALSE
68.6988848455591,FALSE
66.2054062914507,FALSE
67.34843771618,FALSE
64.7345989264822,FALSE
66.8377947209718,FALSE
68.1308649914589,FALSE
66.5444540237395,FALSE
66.1008336844611,FALSE
67.7268389017312,FALSE
66.1905590981348,FALSE
67.2670851159552,FALSE
65.2627362894664,FALSE
65.5885748641911,FALSE
66.5464487732215,FALSE
65.9645087246319,FALSE
68.3621428932593,FALSE
67.917456736975,FALSE
66.2148578389232,FALSE
67.5735181731473,FALSE
67.9181962077378,FALSE
67.2562872729857,FALSE
67.3519665559376,FALSE
68.1743373570956,FALSE
66.5191536247108,FALSE
66.5811702778644,FALSE
67.9551128032203,FALSE
65.7109933890521,FALSE
67.186197433075,FALSE
66.9686744980528,FALSE
67.4670973098466,FALSE
68.0241976742046,FALSE
67.2673584522344,FALSE
67.2318261028602,FALSE
67.7475924645224,FALSE
68.2170685105242,FALSE
67.3833583451683,FALSE
66.0119471784079,FALSE
